ìå3ã«,250,êº,2,"=HYPERLINK(""https://tenhou.net/5/?log=2020121800gm-0029-0000-4afd59fb&tw=0&ts=2&tj=84"")"
ìå4ã«,337,ñk,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121800gm-0029-0000-4afd59fb&tw=0&ts=3&tj=74"")"
ìå2ã«,270,êº,1,"=HYPERLINK(""https://tenhou.net/5/?log=2020121800gm-0029-0000-c72ece05&tw=1&ts=1&tj=88"")"
ìå3ã«,297,êº,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121801gm-0029-0000-efd8d877&tw=0&ts=5&tj=94"")"
ìÏ2ã«,275,êº,2,"=HYPERLINK(""https://tenhou.net/5/?log=2020121802gm-0029-0000-c356d11f&tw=1&ts=6&tj=104"")"
ìå4ã«,280,êº,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121802gm-0029-0000-c4ccbcb2&tw=3&ts=3&tj=74"")"
ìÏ1ã«,220,ìå,1,"=HYPERLINK(""https://tenhou.net/5/?log=2020121807gm-0029-0000-084c41d0&tw=0&ts=4&tj=102"")"
ìÏ1ã«,406,ñk,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121807gm-0029-0000-74d5bdcb&tw=3&ts=7&tj=96"")"
ìÏ4ã«,387,êº,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121807gm-0029-0000-74d5bdcb&tw=3&ts=12&tj=138"")"
ìÏ3ã«,389,ìå,1,"=HYPERLINK(""https://tenhou.net/5/?log=2020121807gm-0029-0000-f50ee0f9&tw=2&ts=8&tj=131"")"
ìÏ2ã«,324,ñk,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121808gm-0029-0000-982301a9&tw=2&ts=8&tj=106"")"
ìå3ã«,269,ìÏ,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121808gm-0029-0000-d8a6b117&tw=3&ts=3&tj=124"")"
ìå4ã«,186,êº,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121808gm-0029-0000-d8a6b117&tw=3&ts=6&tj=82"")"
ìå2ã«,343,ìå,0,"=HYPERLINK(""https://tenhou.net/5/?log=2020121809gm-0029-0000-050af968&tw=3&ts=2&tj=62"")"
